YearlyIncome,White,TotalIncome,TotalFirstHouseholdSize,TotalFirstHouseholdIncome,TotalEnrollments,TotalDependentsUnder18,MEDICAID,Hispanic,FoodStampsTotal,FirstShelterStayNightTotal,EverExperiencedDomesticViolence,EverExperiencedChronicHomeless,EarnedIncomeTotal,EarnedIncome,DomViolenceExp: Yes,DomViolenceExp: No,DomViolenceExp: Don't Know,ChildSupportTotal,BarriersSum,AGE
2400.0,1,200.0,3,200.0,5,1,0,0,200.0,59,0,1,0.0,0,0,0,1,0.0,0,21
10776.0,1,898.0,3,898.0,2,1,1,0,498.0,48,0,1,0.0,0,0,1,0,0.0,1,40
8556.0,1,713.0,2,713.0,1,1,0,0,313.0,77,1,0,0.0,0,1,0,0,0.0,1,24
4320.0,1,360.0,3,360.0,1,1,0,0,360.0,90,1,0,0.0,0,1,0,0,0.0,1,25
9768.0,1,814.0,2,814.0,2,1,1,0,526.0,50,1,0,0.0,0,1,0,0,0.0,2,33
5928.0,0,247.0,2,494.0,2,1,0,1,247.0,33,1,1,0.0,0,1,0,0,0.0,1,30
7200.0,0,300.0,2,600.0,3,1,1,1,300.0,16,1,0,0.0,0,1,0,0,0.0,0,28
6576.0,1,548.0,3,548.0,1,1,1,0,298.0,50,1,0,250.0,1,1,0,0,0.0,2,35
1140.0,1,0.0,3,95.0,1,1,1,0,0.0,55,0,0,0.0,0,0,0,1,0.0,0,21
86940.0,1,6945.0,5,7245.0,1,3,1,0,6945.0,126,1,0,0.0,0,1,0,0,0.0,0,23
0.0,1,0.0,3,0.0,1,2,0,0,0.0,8,1,0,0.0,0,1,0,0,0.0,0,31
12396.0,0,1033.0,5,1033.0,1,3,1,1,386.0,4,0,0,0.0,0,0,0,1,0.0,0,36
0.0,0,0.0,4,0.0,2,2,0,1,0.0,33,1,0,0.0,0,1,0,0,0.0,1,23
4800.0,1,200.0,3,400.0,1,2,0,0,200.0,11,1,0,0.0,0,1,0,0,0.0,0,42
9156.0,0,763.0,2,763.0,1,1,1,1,364.0,91,1,0,0.0,0,1,0,0,0.0,1,33
5520.0,1,460.0,3,460.0,3,1,0,0,460.0,272,1,0,0.0,0,1,0,0,0.0,0,27
10968.0,1,914.0,3,914.0,1,2,0,0,664.0,9,1,0,0.0,0,1,0,0,250.0,0,33
16416.0,0,1368.0,4,1368.0,1,2,1,0,0.0,27,0,0,0.0,0,0,0,1,0.0,0,29
5916.0,0,493.0,3,493.0,2,2,0,0,493.0,184,1,0,0.0,0,0,1,0,0.0,0,22
0.0,0,0.0,2,0.0,1,1,0,1,0.0,1,1,0,0.0,0,1,0,0,0.0,1,26
7860.0,1,655.0,2,655.0,1,1,0,0,367.0,145,1,0,0.0,0,1,0,0,0.0,0,54
0.0,0,0.0,2,0.0,1,1,0,0,0.0,6,1,0,0.0,0,1,0,0,0.0,0,22
3600.0,0,0.0,3,300.0,1,1,0,0,0.0,69,0,0,0.0,0,0,0,1,0.0,0,18
9804.0,0,817.0,4,817.0,2,3,0,1,177.0,152,1,0,400.0,1,1,0,0,240.0,0,37
8328.0,1,694.0,2,694.0,1,1,0,0,0.0,15,1,0,0.0,0,1,0,0,0.0,1,42
3180.0,1,1400.0,5,265.0,1,3,0,0,0.0,52,0,0,1400.0,1,0,0,1,0.0,2,40
8712.0,1,526.0,3,726.0,1,1,1,0,526.0,33,0,0,0.0,0,0,0,1,0.0,1,30
3432.0,1,309.0,5,286.0,2,3,1,0,309.0,113,1,0,0.0,0,0,1,0,0.0,1,38
22080.0,1,600.0,3,1840.0,1,1,0,0,0.0,6,0,0,600.0,1,0,0,1,0.0,0,37
12720.0,1,1060.0,3,1060.0,1,2,0,0,449.0,42,1,0,0.0,0,1,0,0,611.0,1,36
4380.0,0,365.0,2,365.0,1,1,1,1,365.0,4,1,0,0.0,0,1,0,0,0.0,0,21
